Featurecla.C.11,Name.C.128,Code.C.4,StartDate.d.1,Latitude.d.1,Longitude.d.1
Airfield,Charlton Park (A),X9CP,0,51.6005555555556,-2.07805555555556
Airfield,Charmy Down (A),X2CD,1940,51.4280555555556,-2.34361111111111
Airfield,Charter Hall (A),X6CH,1942,55.7072222222222,-2.3775
Airfield,Chathill (A),X0CH,0,55.5394444444444,-1.695
Airfield,Chatteris (A),X3CT,0,52.4872222222222,0.0888888888888889
Airfield,Chattis Hill (A),X2CH,0,51.1205555555556,-1.53722222222222
Airfield,Chedburgh (A),X3CE,1942,52.1816666666667,0.62
Airfield,Cheddington (A),X1CM,1942,51.8327777777778,-0.678055555555556
Airfield,Chedworth (A),X2CE,1942,51.8125,-1.94333333333333
Airfield,Cheltenham Racecourse (A),EGBC,0,51.9255555555556,-2.05444444444444
Airfield,Chelveston (A),X3CV,1941,52.3055555555556,-0.521666666666667
Airfield,Chepstow (C),X2CQ,0,51.6166666666667,-2.66666666666667
Airfield,Chetwynd (A),X3CY,1941,52.8127777777778,-2.40694444444444
Airfield,Chichester (A),EGHR,1940,50.8594444444444,-0.759166666666667
Airfield,Chickerill (C),X0CI,1918,50.6166666666667,-2.48333333333333
Airfield,Chigwell (C),X0CJ,1938,51.6,0.116666666666667
Airfield,Chilbolton (A),X9CB,2002,51.1366666666667,-1.41916666666667
Airfield,Chilbolton (A),X2CB,1940,51.1405555555556,-1.44166666666667
Airfield,Chilsfold Farm (A),X9CF,0,51.06,-0.592777777777778
Airfield,Chiltern Park (A),X1CP,0,51.5511111111111,-1.10111111111111
Airfield,Chilton (A),X2CN,0,51.4338888888889,-1.52694444444444
Airfield,Chilworth (A),X0IW,0,51.7330555555556,-1.07416666666667
Airfield,Chingford (C),X0CG,1915,51.6333333333333,0
Airfield,Chipping (A),X4CP,0,53.8847222222222,-2.62055555555556
Airfield,Chipping Norton (A),X2CG,1940,51.9241666666667,-1.52666666666667
Airfield,Chipping Ongar (A),X2CO,1943,51.7294444444444,0.295
Airfield,Chipping Warden (A),X3CW,1941,52.1447222222222,-1.27638888888889
Airfield,Chirk (A),X7CH,0,52.9475,-3.04583333333333
Airfield,Chivenor (A),EGDC,1940,51.0872222222222,-4.15027777777778
Airfield,Christchurch (A),X1CC,1935,50.7341666666667,-1.75222222222222
Airfield,Christleton (B),X3CJ,0,53.2005555555556,-2.83194444444444
Airfield,Church Broughton (A),X3CB,1942,52.8869444444444,-1.69638888888889
Airfield,Church Farm (A),X9CH,0,52.0997222222222,-1.38083333333333
Airfield,Church Fenton (A),EGXG,1937,53.8344444444444,-1.19527777777778
Airfield,Church Lawford (A),X3CH,1941,52.3569444444444,-1.3425
Airfield,Cirencester  (A),X0CN,1918,51.7430555555556,-1.99027777777778
Airfield,Clacton (A),EGSQ,0,51.7852777777778,1.13
Airfield,Clacton (C),X0CK,0,51.8,1.11666666666667
Airfield,Claybrooke Farm (A),X3CF,0,52.5069444444444,-1.28083333333333
Airfield,Cleadon (C),X5CD,1916,54.9666666666667,-1.38333333333333
Airfield,Cleave (A),X2CV,1939,50.8858333333333,-4.55305555555556
Airfield,Cleethorpes Beach (C),X4CB,0,53.55,0
Airfield,Clench Common (A),X2CJ,0,51.3902777777778,-1.73416666666667
Airfield,Cliffe (A),X4CE,0,53.7858333333333,-1
Airfield,Clipgate (A),X1CG,0,51.1869444444444,1.15333333333333
Airfield,Clough Farm (A),X4CL,0,53.1172222222222,0.315
Airfield,Cluntoe (A),X8CL,1942,54.6205555555556,-6.53361111111111
Airfield,Clutton Hill Farm (A),X1CH,0,51.3413888888889,-2.5225
Airfield,Clyffe Pypard (A),X2CP,1941,51.4805555555556,-1.8975
Airfield,Coal Aston (A),X3CQ,0,53.3047222222222,-1.43055555555556
Airfield,Coal Aston (A),X3CN,1915,53.3261111111111,-1.46527777777778
Airfield,Cock Marsh (A),X0CZ,0,51.575,-0.718888888888889
Airfield,Cockerham (A),X9CK,0,53.9652777777778,-2.83111111111111
Airfield,Colchester (C),X2BL,1927,51.9333333333333,0.95
Airfield,Coldharbour Farm (B),X2CF,0,50.9888888888889,0.864722222222222
Airfield,Coleby Grange (A),X4CG,1940,53.1322222222222,-0.4975
